1 3 0	1 -1 0	-2 -1 0	
0.984160957212643 2.9277780394502 0	0.926413033321501 -0.969340333286557 0	-1.89613700956132 -0.984158112979421 0	
0.983877377259246 2.92649338101486 0	0.925090426133365 -0.968796529535594 0	-1.8942710656111 -0.983874373841631 0	
0.983591158562495 2.92519707098297 0	0.923755313511787 -0.968247851849758 0	-1.89238751081157 -0.983587988425003 0	
0.983302296642444 2.92388909762567 0	0.922407668141644 -0.967694297012641 0	-1.89048630765884 -0.983298951953432 0	
0.983010786968881 2.922569449092 0	0.921047462355964 -0.967135861782385 0	-1.88856741817157 -0.983007259591008 0	
0.982716624961013 2.92123811340828 0	0.919674668132255 -0.96657254289182 0	-1.88663080388602 -0.982712906441429 0	
0.982419805987104 2.9198950784775 0	0.918289257088705 -0.966004337048576 0	-1.88467642585117 -0.982415887547402 0	
0.982120325364149 2.91854033207875 0	0.916891200480381 -0.965431240935223 0	-1.88270424462355 -0.982116197890023 0	
0.981818178357516 2.91717386186656 0	0.915480469195277 -0.964853251209396 0	-1.8807142202622 -0.981813832388166 0	
0.981513360180592 2.91579565537039 0	0.914057033750372 -0.964270364503955 0	-1.87870631232338 -0.981508785897832 0	
0.981205865994431 2.91440569999392 0	0.912620864287539 -0.963682577427131 0	-1.87668047985521 -0.981201053211509 0	
0.980895690907383 2.91300398301446 0	0.911171930569419 -0.963089886562647 0	-1.87463668139229 -0.980890629057515 0	
0.98058282997473 2.9115904915823 0	0.90971020197524 -0.96249228846992 0	-1.87257487495007 -0.980577508099321 0	
0.980267278198313 2.91016521272013 0	0.908235647496483 -0.96188977968419 0	-1.87049501801931 -0.980261684934866 0	
0.979949030526155 2.9087281333223 0	0.906748235732561 -0.961282356716701 0	-1.86839706756028 -0.979943154095864 0	
0.979628081852065 2.90727924015424 0	0.905247934886328 -0.960670016054873 0	-1.86628097999693 -0.979621910047094 0	
0.979304427015268 2.9058185198517 0	0.903734712759573 -0.960052754162481 0	-1.86414671121088 -0.979297947185675 0	
0.978978060799998 2.90434595892018 0	0.902208536748382 -0.959430567479851 0	-1.86199421653544 -0.978971259840329 0	
0.978648977935103 2.90286154373419 0	0.900669373838441 -0.958803452424025 0	-1.85982345074934 -0.978641842270625 0	
0.978317173093631 2.90136526053658 0	0.89911719060024 -0.958171405388989 0	-1.85763436807048 -0.978309688666212 0	
0.977982640892434 2.89985709543784 0	0.897551953184184 -0.957534422745869 0	-1.85542692214951 -0.977974793146053 0	
0.977645375891743 2.89833703441538 0	0.895973627315603 -0.956892500843135 0	-1.85320106606326 -0.977637149757617 0	
0.977305372594748 2.89680506331282 0	0.894382178289701 -0.956245636006824 0	-1.85095675230813 -0.977296752476084 0	
0.976962625447169 2.89526116783927 0	0.892777570966357 -0.955593824540775 0	-1.84869393279326 -0.976953595203488 0	
0.976617128836822 2.89370533356862 0	0.89115976976488 -0.954937062726847 0	-1.84641255883366 -0.976607671767914 0	
0.976268877093186 2.89213754593876 0	0.889528738658623 -0.95427534682518 0	-1.84411258114311 -0.976258975922614 0	
0.975917864486947 2.89055779025088 0	0.887884441169505 -0.953608673074429 0	-1.84179394982703 -0.975907501345138 0	
0.975564085229556 2.88896605166863 0	0.886226840362438 -0.952937037692028 0	-1.83945661437516 -0.975553241636459 0	
0.975207533472767 2.88736231521745 0	0.884555898839641 -0.952260436874458 0	-1.83710052365407 -0.97519619032004 0	
0.974848203308181 2.88574656578372 0	0.882871578734832 -0.95157886679752 0	-1.83472562589961 -0.974836340840918 0	
0.974486088766759 2.88411878811403 0	0.88117384170732 -0.950892323616616 0	-1.83233186870916 -0.974473686564773 0	
0.974121183818366 2.88247896681433 0	0.879462648935972 -0.950200803467058 0	-1.82991919903368 -0.974108220776939 0	
0.973753482371273 2.88082708634916 0	0.877737961113087 -0.949504302464349 0	-1.82748756316975 -0.973739936681453 0	
0.973382978271682 2.87916313104084 0	0.875999738438102 -0.948802816704503 0	-1.82503690675133 -0.973368827400023 0	
0.97300966530321 2.87748708506862 0	0.874247940611222 -0.948096342264385 0	-1.82256717474139 -0.97299488597102 0	
0.97263353718641 2.87579893246792 0	0.87248252682691 -0.947384875202021 0	-1.82007831142339 -0.972618105348449 0	
0.972254587578245 2.87409865712937 0	0.870703455767212 -0.946668411556955 0	-1.81757026039264 -0.97223847840087 0	
0.971872810071579 2.87238624279803 0	0.868910685595013 -0.9459469473506 0	-1.81504296454739 -0.971855997910318 0	
0.971488198194653 2.87066167307256 0	0.867104173947106 -0.945220478586612 0	-1.81249636607981 -0.971470656571202 0	
0.971100745410557 2.86892493140427 0	0.86528387792715 -0.944489001251262 0	-1.80993040646679 -0.971082446989173 0	
0.97071044511668 2.86717600109629 0	0.863449754098472 -0.943752511313831 0	-1.80734502646054 -0.970691361679979 0	
0.97031729064419 2.86541486530266 0	0.861601758476743 -0.943011004727011 0	-1.80474016607901 -0.970297393068286 0	
0.969921275257455 2.86364150702745 0	0.859739846522472 -0.942264477427314 0	-1.80211576459612 -0.969900533486487 0	
0.969522392153506 2.86185590912377 0	0.857863973133374 -0.941512925335527 0	-1.79947176053179 -0.969500775173464 0	
0.969120634461452 2.86005805429296 0	0.855974092636598 -0.940756344357129 0	-1.79680809164179 -0.969098110273365 0	
0.968715995241921 2.8582479250836 0	0.854070158780757 -0.939994730382759 0	-1.79412469490733 -0.968692530834311 0	
0.968308467486466 2.85642550389054 0	0.852152124727799 -0.939228079288695 0	-1.79142150652455 -0.968284028807103 0	
0.967898044116978 2.85459077295398 0	0.850219943044762 -0.938456386937329 0	-1.78869846189364 -0.967872596043888 0	
0.967484717985096 2.85274371435848 0	0.84827356569529 -0.937679649177685 0	-1.78595549560788 -0.967458224296819 0	
0.967068481871587 2.85088431003201 0	0.846312944031004 -0.936897861845925 0	-1.78319254144239 -0.967040905216666 0	
0.966649328485744 2.84901254174492 0	0.844338028782716 -0.936111020765897 0	-1.78040953234265 -0.966620630351392 0	
0.966227250464752 2.84712839110899 0	0.842348770051412 -0.93531912174968 0	-1.77760640041278 -0.966197391144732 0	
0.965802240373065 2.8452318395764 0	0.840345117299085 -0.934522160598149 0	-1.77478307690361 -0.965771178934701 0	
0.965374290701768 2.84332286843866 0	0.838327019339351 -0.933720133101584 0	-1.77193949220046 -0.965341984952094 0	
0.964943393867915 2.84140145882561 0	0.836294424327877 -0.932913035040263 0	-1.76907557581073 -0.964909800318962 0	
0.964509542213885 2.83946759170442 0	0.83424727975261 -0.932100862185093 0	-1.76619125635112 -0.964474616047028 0	
0.964072728006708 2.83752124787844 0	0.832185532423777 -0.93128361029826 0	-1.7632864615347 -0.964036423036094 0	
0.963632943437406 2.8355624079862 0	0.8301091284637 -0.930461275133887 0	-1.76036111815762 -0.963595212072381 0	
0.963190180620278 2.83359105250027 0	0.828018013296367 -0.929633852438729 0	-1.75741515208561 -0.963150973826878 0	
0.962744431592235 2.8316071617262 0	0.825912131636787 -0.928801337952897 0	-1.75444848824011 -0.96270369885362 0	
0.962295688312091 2.82961071580143 0	0.823791427480118 -0.927963727410578 0	-1.75146105058417 -0.962253377587941 0	
0.961843942659823 2.82760169469411 0	0.821655844090556 -0.927121016540789 0	-1.74845276210802 -0.961800000344683 0	
0.961389186435888 2.82558007820198 0	0.819505323989967 -0.926273201068167 0	-1.74542354481433 -0.961343557316365 0	
0.960931411360474 2.82354584595128 0	0.817339808946295 -0.925420276713782 0	-1.74237331970319 -0.960884038571324 0	
0.960470609072747 2.82149897739553 0	0.815159239961691 -0.92456223919596 0	-1.73930200675664 -0.960421434051792 0	
0.960006771130106 2.81943945181436 0	0.81296355726039 -0.92369908423113 0	-1.73620952492303 -0.959955733571951 0	
0.959539889007433 2.81736724831237 0	0.810752700276303 -0.922830807534745 0	-1.73309579210091 -0.959486926815926 0	
0.9590699540963 2.81528234581783 0	0.808526607640364 -0.921957404822166 0	-1.72996072512264 -0.959015003335743 0	
0.958596957704197 2.81318472308158 0	0.80628521716756 -0.921078871809613 0	-1.72680423973756 -0.958539952549234 0	
0.958120891053728 2.81107435867571 0	0.804028465843674 -0.920195204215157 0	-1.72362625059484 -0.958061763737909 0	
0.95764174528182 2.80895123099241 0	0.801756289811738 -0.919306397759708 0	-1.720426671226 -0.957580426044747 0	
0.957159511438886 2.80681531824262 0	0.799468624358177 -0.918412448168066 0	-1.71720541402685 -0.957095928471958 0	
0.956674180488017 2.8046665984548 0	0.797165403898612 -0.917513351169978 0	-1.71396239023925 -0.956608259878713 0	
0.956185743304127 2.80250504947368 0	0.794846561963373 -0.916609102501256 0	-1.71069750993229 -0.956117408978768 0	
0.955694190673111 2.80033064895885 0	0.792512031182639 -0.915699697904925 0	-1.70741068198311 -0.955623364338064 0	
0.955199513290982 2.79814337438357 0	0.790161743271254 -0.91478513313239 0	-1.70410181405727 -0.955126114372277 0	
0.954701701762988 2.79594320303338 0	0.78779562901319 -0.913865403944664 0	-1.70077081258869 -0.954625647344286 0	
0.954200746602733 2.79373011200471 0	0.785413618245635 -0.912940506113614 0	-1.69741758275906 -0.954121951361599 0	
0.953696638231279 2.79150407820363 0	0.783015639842709 -0.912010435423273 0	-1.69404202847681 -0.95361501437371 0	
0.953189366976228 2.78926507834437 0	0.780601621698797 -0.911075187671175 0	-1.69064405235563 -0.953104824169379 0	
0.952678923070798 2.78701308894795 0	0.778171490711465 -0.91013475866973 0	-1.68722355569239 -0.952591368373867 0	
0.952165296652889 2.78474808634082 0	0.775725172764002 -0.909189144247678 0	-1.68378043844463 -0.952074634446089 0	
0.951648477764136 2.7824700466534 0	0.773262592707511 -0.908238340251542 0	-1.68031459920745 -0.951554609675699 0	
0.951128456348929 2.78017894581862 0	0.77078367434257 -0.907282342547156 0	-1.67682593518987 -0.951031281180097 0	
0.950605222253467 2.7778747595705 0	0.768288340400468 -0.906321147021258 0	-1.67331434219065 -0.950504635901384 0	
0.950078765224737 2.77555746344265 0	0.765776512523947 -0.905354749583095 0	-1.66977971457345 -0.9499746606032 0	
0.949549074909519 2.77322703276677 0	0.763248111247505 -0.904383146166116 0	-1.66622194524148 -0.949441341867515 0	
0.94901614085337 2.77088344267119 0	0.760703055977184 -0.903406332729716 0	-1.66264092561146 -0.94890466609133 0	
0.948479952499596 2.76852666807928 0	0.758141264969866 -0.902424305261008 0	-1.65903654558697 -0.948364619483279 0	
0.947940499188184 2.76615668370794 0	0.75556265531206 -0.901437059776698 0	-1.65540869353115 -0.947821188060164 0	
0.94739777015477 2.76377346406606 0	0.752967142898131 -0.900444592324993 0	-1.65175725623869 -0.947274357643379 0	
0.94685175452954 2.76137698345289 0	0.750354642408002 -0.899446898987575 0	-1.6480821189071 -0.946724113855267 0	
0.946302441336137 2.75896721595647 0	0.747725067284288 -0.898443975881657 0	-1.6443831651074 -0.946170442115342 0	
0.945749819490569 2.75654413545202 0	0.745078329708809 -0.897435819162097 0	-1.64066027675388 -0.945613327636451 0	
0.945193877800065 2.75410771560032 0	0.74241434057856 -0.896422425023581 0	-1.63691333407319 -0.945052755420808 0	
0.944634604961949 2.75165792984598 0	0.739733009480987 -0.895403789702878 0	-1.63314221557264 -0.944488710255933 0	
0.944071989562489 2.74919475141588 0	0.737034244668693 -0.894379909481185 0	-1.62934679800768 -0.94392117671047 0	
0.943506020075703 2.74671815331738 0	0.734317953033424 -0.893350780686549 0	-1.6255269563485 -0.943350139129899 0	
0.942936684862191 2.74422810833669 0	0.731584040079386 -0.892316399696345 0	-1.62168256374582 -0.94277558163213 0	
0.942363972167921 2.74172458903704 0	0.728832409895889 -0.891276762939883 0	-1.61781349149574 -0.94219748810299 0	
0.941787870123008 2.73920756775706 0	0.726062965129193 -0.890231866901061 0	-1.61391960900369 -0.941615842191538 0	
0.941208366740465 2.73667701660889 0	0.723275606953686 -0.88918170812115 0	-1.61000078374739 -0.941030627305307 0	
0.940625449914956 2.73413290747648 0	0.720470235042197 -0.888126283201639 0	-1.6060568812389 -0.940441826605374 0	
0.940039107421518 2.73157521201366 0	0.717646747535561 -0.887065588807207 0	-1.60208776498552 -0.939849423001299 0	
0.939449326914257 2.72900390164244 0	0.714805041011345 -0.885999621668765 0	-1.5980932964498 -0.939253399145934 0	
0.938856095925047 2.72641894755107 0	0.711945010451679 -0.884928378586653 0	-1.59407333500831 -0.938653737430059 0	
0.938259401862182 2.72382032069222 0	0.70906654921026 -0.883851856433894 0	-1.59002773790938 -0.938050419976873 0	
0.937659232009044 2.72120799178104 0	0.706169548978381 -0.882770052159617 0	-1.58595636022967 -0.93744342863634 0	
0.937055573522708 2.71858193129325 0	0.70325389975003 -0.881682962792545 0	-1.58185905482948 -0.936832744979341 0	
0.936448413432576 2.71594210946322 0	0.700319489786018 -0.880590585444661 0	-1.57773567230688 -0.936218350291678 0	
0.93583773863896 2.71328849628198 0	0.697366205577075 -0.879492917314951 0	-1.57358606095048 -0.935600225567884 0	
0.93522353591163 2.71062106149524 0	0.694393931805885 -0.878389955693335 0	-1.56941006669099 -0.934978351504847 0	
0.934605791888384 2.70793977460139 0	0.691402551308069 -0.877281697964693 0	-1.56520753305128 -0.934352708495261 0	
0.933984493073573 2.70524460484947 0	0.688391945031982 -0.876168141613063 0	-1.56097830109507 -0.933723276620849 0	
0.933359625836587 2.70253552123708 0	0.6853619919974 -0.875049284225982 0	-1.5567222093741 -0.933090035645405 0	
0.93273117641036 2.69981249250837 0	0.682312569252959 -0.873925123498992 0	-1.55243909387387 -0.932452965007614 0	
0.932099130889818 2.69707548715185 0	0.679243551832342 -0.872795657240283 0	-1.54812878795768 -0.931812043813617 0	
0.931463475230332 2.69432447339834 0	0.676154812709169 -0.871660883375543 0	-1.5437911223091 -0.93116725082941 0	
0.93082419524611 2.69155941921875 0	0.67304622275057 -0.870520799952977 0	-1.5394259248727 -0.930518564472934 0	
0.930181276608618 2.68878029232196 0	0.669917650669314 -0.869375405148481 0	-1.53503302079301 -0.929865962805964 0	
0.929534704844926 2.68598706015258 0	0.666768962974497 -0.868224697271058 0	-1.53061223235172 -0.929209423525703 0	
0.928884465336064 2.68317968988872 0	0.663600023920762 -0.867068674768398 0	-1.52616337890291 -0.928548923956137 0	
0.928230543315333 2.68035814843974 0	0.660410695455907 -0.865907336232666 0	-1.5216862768063 -0.927884441039075 0	
0.927572923866626 2.67752240244403 0	0.657200837166918 -0.864740680406554 0	-1.51718073935854 -0.927215951324924 0	
0.926911591922656 2.67467241826656 0	0.653970306224293 -0.863568706189498 0	-1.51264657672227 -0.926543430963149 0	
0.926246532263243 2.67180816199673 0	0.650718957324615 -0.862391412644188 0	-1.50808359585312 -0.925866855692402 0	
